SYSTEM,U_eV,ENERGY_TOTEN_eV,NMAG_ION,ENERGY_REDUCED_eV,NIONS,NELECT,LNONCOLLINEAR,LSORBIT,J1,J2,J3,J4,STATUS
NaTmO2-nosoc_ncol-U=5-FM-112-z,5,-56.45558873,2,-28.227794365,8,84,1,0,6,6,6,6,CONVERGE
NaTmO2-nosoc_ncol-U=5-FM-gen3gen31-x,5,-84.57030232,3,-28.1901007733333,12,126,1,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_ncol-U=5-FM-origin-x,5,-28.18894308,1,-28.18894308,4,42,1,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_ncol-U=5-FM-221-x,5,-112.77181723,4,-28.1929543075,16,168,1,0,12,12,12,12,CONVERGE
NaTmO2-soc_ncol-U=5-AFM-221-stripe2-x,5,-115.7046022,4,-28.92615055,16,168,1,1,-4,-4,-4,12,CONVERGE
NaTmO2-soc_ncol-U=5-AFM-221-stripe1-z,5,-115.70066938,4,-28.925167345,16,168,1,1,-4,-4,4,12,CONVERGE
NaTmO2-soc_ncol-U=5-AFM-221-stripe3-x,5,-114.97320837,4,-28.7433020925,16,168,1,1,0,0,4,12,CONVERGE
NaTmO2-soc_ncol-U=5-AFM-221-stripe1-x,5,-115.67055596,4,-28.91763899,16,168,1,1,-4,-4,4,12,CONVERGE
NaTmO2-soc_ncol-U=5-AFM-221-stripe2-z,5,-115.47275708,4,-28.86818927,16,168,1,1,-4,-4,-4,12,CONVERGE
NaTmO2-soc_ncol-U=5-AFM-112-z,5,-58.11054056,2,-29.05527028,8,84,1,1,6,6,-6,6,CONVERGE
NaTmO2-soc_ncol-U=5-FM-gen3gen31-z,5,-86.7563327,3,-28.9187775666667,12,126,1,1,9,9,9,9,CONVERGE
NaTmO2-soc_ncol-U=5-AFM-gen3gen31-upupd,5,-86.71990908,3,-28.90663636,12,126,1,1,-3,9,1,-3,CONVERGE
NaTmO2-soc_ncol-U=5-FM-221-z,5,-115.68899767,4,-28.9222494175,16,168,1,1,12,12,12,12,CONVERGE
NaTmO2-soc_ncol-U=5-FM-112-x,5,-57.83580386,2,-28.91790193,8,84,1,1,6,6,6,6,CONVERGE
NaTmO2-soc_ncol-U=5-AFM-112-x,5,-57.84179275,2,-28.920896375,8,84,1,1,6,6,-6,6,CONVERGE
NaTmO2-soc_ncol-U=5-FM-origin-z,5,-29.04641691,1,-29.04641691,4,42,1,1,3,3,3,3,CONVERGE
NaTmO2-soc_ncol-U=5-AFM-221-stripe3-z,5,-115.74603204,4,-28.93650801,16,168,1,1,0,0,4,12,CONVERGE
NaTmO2-soc_ncol-U=5-PM-origin,5,-27.2491609,1,-27.2491609,4,42,1,1,0,0,0,0,CONVERGE
NaTmO2-soc_ncol-U=5-AFM-gen3gen31-120,5,-86.76343548,3,-28.92114516,12,126,1,1,-3,9,1,-3,CONVERGE
NaTmO2-soc_ncol-U=5-FM-112-z,5,-58.09439583,2,-29.047197915,8,84,1,1,6,6,6,6,CONVERGE
NaTmO2-soc_ncol-U=5-FM-gen3gen31-x,5,-86.76914668,3,-28.9230488933333,12,126,1,1,9,9,9,9,CONVERGE
NaTmO2-soc_ncol-U=5-FM-origin-x,5,-28.91714264,1,-28.91714264,4,42,1,1,3,3,3,3,CONVERGE
NaTmO2-soc_ncol-U=5-FM-221-x,5,-115.68597442,4,-28.921493605,16,168,1,1,12,12,12,12,CONVERGE
